Name,geometry,numm,nummer,lat,lon
Abia,POINT (7.524447281046014 5.456420859359643),"['7', '524447281046014', '5', '456420859359643']","[7.524447281046014, 5.456420859359643]",7.524447281046014,5.456420859359643
Adamawa,POINT (12.40493873348676 9.33095640004877),"['12', '40493873348676', '9', '33095640004877']","[12.40493873348676, 9.33095640004877]",12.40493873348676,9.33095640004877
Akwa Ibom,POINT (7.847321498572161 4.907151584869209),"['7', '847321498572161', '4', '907151584869209']","[7.847321498572161, 4.907151584869209]",7.847321498572161,4.907151584869209
Anambra,POINT (6.935840049009533 6.227943829741159),"['6', '935840049009533', '6', '227943829741159']","[6.935840049009533, 6.227943829741159]",6.935840049009533,6.227943829741159
Bauchi,POINT (9.98798536778998 10.78021416281611),"['9', '98798536778998', '10', '78021416281611']","[9.98798536778998, 10.78021416281611]",9.98798536778998,10.78021416281611
Bayelsa,POINT (6.070537762909064 4.772516176228854),"['6', '070537762909064', '4', '772516176228854']","[6.070537762909064, 4.772516176228854]",6.070537762909064,4.772516176228854
Benue,POINT (8.739893796186037 7.334653275476581),"['8', '739893796186037', '7', '334653275476581']","[8.739893796186037, 7.334653275476581]",8.739893796186037,7.334653275476581
Borno,POINT (13.1499652413986 11.88358944367648),"['13', '1499652413986', '11', '88358944367648']","[13.1499652413986, 11.88358944367648]",13.1499652413986,11.88358944367648
Cross River,POINT (8.598668227897218 5.874929063862457),"['8', '598668227897218', '5', '874929063862457']","[8.598668227897218, 5.874929063862457]",8.598668227897218,5.874929063862457
Delta,POINT (5.943205031626015 5.707456947535629),"['5', '943205031626015', '5', '707456947535629']","[5.943205031626015, 5.707456947535629]",5.943205031626015,5.707456947535629
Ebonyi,POINT (8.017366451350656 6.263451766477402),"['8', '017366451350656', '6', '263451766477402']","[8.017366451350656, 6.263451766477402]",8.017366451350656,6.263451766477402
Edo,POINT (5.929748060021081 6.633471343417489),"['5', '929748060021081', '6', '633471343417489']","[5.929748060021081, 6.633471343417489]",5.929748060021081,6.633471343417489
Ekiti,POINT (5.310912968226847 7.718981653761416),"['5', '310912968226847', '7', '718981653761416']","[5.310912968226847, 7.718981653761416]",5.310912968226847,7.718981653761416
Ogun,POINT (3.47592162859992 6.994443534973946),"['3', '47592162859992', '6', '994443534973946']","[3.47592162859992, 6.994443534973946]",3.47592162859992,6.994443534973946
Ondo,POINT (5.150803378823357 6.916742362186008),"['5', '150803378823357', '6', '916742362186008']","[5.150803378823357, 6.916742362186008]",5.150803378823357,6.916742362186008
Osun,POINT (4.519702469911003 7.561705277928282),"['4', '519702469911003', '7', '561705277928282']","[4.519702469911003, 7.561705277928282]",4.519702469911003,7.561705277928282
Oyo,POINT (3.614274917989431 8.158462773435742),"['3', '614274917989431', '8', '158462773435742']","[3.614274917989431, 8.158462773435742]",3.614274917989431,8.158462773435742
Enugu,POINT (7.439059880469713 6.532745993457286),"['7', '439059880469713', '6', '532745993457286']","[7.439059880469713, 6.532745993457286]",7.439059880469713,6.532745993457286
Federal Capital Territory,POINT (7.184726188971271 8.900714333108334),"['7', '184726188971271', '8', '900714333108334']","[7.184726188971271, 8.900714333108334]",7.184726188971271,8.900714333108334
Gombe,POINT (11.18341994372551 10.37314233733836),"['11', '18341994372551', '10', '37314233733836']","[11.18341994372551, 10.37314233733836]",11.18341994372551,10.37314233733836
Imo,POINT (7.058825868030783 5.572058856826649),"['7', '058825868030783', '5', '572058856826649']","[7.058825868030783, 5.572058856826649]",7.058825868030783,5.572058856826649
Jigawa,POINT (9.56512602276384 12.2253532354153),"['9', '56512602276384', '12', '2253532354153']","[9.56512602276384, 12.2253532354153]",9.56512602276384,12.2253532354153
Kaduna,POINT (7.711364809937971 10.37345121973827),"['7', '711364809937971', '10', '37345121973827']","[7.711364809937971, 10.37345121973827]",7.711364809937971,10.37345121973827
Kano,POINT (8.526618353844787 11.7433085300261),"['8', '526618353844787', '11', '7433085300261']","[8.526618353844787, 11.7433085300261]",8.526618353844787,11.7433085300261
Katsina,POINT (7.631532006614365 12.38053973384827),"['7', '631532006614365', '12', '38053973384827']","[7.631532006614365, 12.38053973384827]",7.631532006614365,12.38053973384827
Kebbi,POINT (4.529464176718707 11.71251064804443),"['4', '529464176718707', '11', '71251064804443']","[4.529464176718707, 11.71251064804443]",4.529464176718707,11.71251064804443
Kogi,POINT (6.691979099701408 7.732990800675895),"['6', '691979099701408', '7', '732990800675895']","[6.691979099701408, 7.732990800675895]",6.691979099701408,7.732990800675895
Kwara,POINT (4.384834940180859 8.966824548272671),"['4', '384834940180859', '8', '966824548272671']","[4.384834940180859, 8.96682454827267]",4.384834940180859,8.96682454827267
Lagos,POINT (3.593288903900098 6.52331883978711),"['3', '593288903900098', '6', '52331883978711']","[3.593288903900098, 6.52331883978711]",3.593288903900098,6.52331883978711
Nasarawa,POINT (8.194771923070729 8.499013726227146),"['8', '194771923070729', '8', '499013726227146']","[8.194771923070729, 8.499013726227146]",8.194771923070729,8.499013726227146
Niger,POINT (5.594288750934557 9.92458108870807),"['5', '594288750934557', '9', '92458108870807']","[5.594288750934557, 9.92458108870807]",5.594288750934557,9.92458108870807
Plateau,POINT (9.516161527432565 9.224273417031762),"['9', '516161527432565', '9', '224273417031762']","[9.516161527432565, 9.224273417031762]",9.516161527432565,9.224273417031762
